,Unnamed: 0,id,username,created_at,note,followers_count,following_count,statuses_count
15908,15908,1014938,JOHANJHA,2019-03-04T22:59:22.000Z,"""stopping leaks is a new form of censorship."" - julian assange",204,361,26754
16296,16296,1147712,nephroVIP,2019-06-30T07:10:07.000Z,eine moralische referenzierung der fehler unserer vergangenheit ist volksverhetzung.Zpielarten deZ menZchen Zind kein eigentum einer ideologiZchen gruppe und bedu rfen keines Zchutzes vor kritik.flugschreiber sumer triptan der am liebsten voltaire schreibtreptil ass sumer triptaneliminator sumer triptandevice infection control agent sumer triptansimiokrates augur x spca sar-balthasar honker-gollumpestilandsermeine profilbilder sind weg !!!!,1492,5678,60751
16333,16333,1107805,ethelred_the_ill-advised,2019-05-15T15:30:31.000Z,,79,13,5245
16622,16622,1008774,MichaelArchangel,2019-03-03T06:16:27.000Z,the time is short fellow patriots. this winter the usa will be under attack on several fronts. the vaxdemic will start killing millions. biden will put us under national lock down. a total vax mandate for the whole usa. the economy will collapse. and that's just the start. we need to band together now. archangelskyfire@protonmail.com corpus christi tx,9545,9463,55712
16718,16718,1025332,Imaginary-canary,2019-03-08T15:57:48.000Z,"appalachian american. be not overcome of evil, but overcome evil with good. -romans 12:21",3155,2623,50347
16939,16939,1084248,Chloros,2019-04-20T20:24:42.000Z,"somewhere in north east arkansas where people still believe in jesus. not racist but not offended by words, anti-lgbtpervert, supporter of logic, anti-woke, music fan, lover of nature but not dirty hippies. it's ok to be white, black, asian, etc, but it's not ok to be an asshole.",493,207,8423
17303,17303,1060746,Terrona,2019-03-23T14:33:48.000Z,,658,379,27259
17362,17362,1047580,MikeABQ,2019-03-15T14:10:27.000Z,coward veteran/bitter evangelical the giants and trolls win! let us die on the right side with father odin. cs lewis,116,868,1913
17469,17469,1152857,Javanka_is_Rasputin,2019-07-06T19:41:32.838Z,"(he/himmler)blood is thicker than ink. genetics and genealogy are reality. the only legitimate basis for a nation is shared ancestry, not any document or creed.people of every race on earth need to realize that the jews are out to exploit, exterminate, or enslave everyone.making fascism fun again. shameless meme thief, plagiarist and reposter. proud resident of the most nordic state in the union.",914,1556,7051
17934,17934,117416,TheTruthIsOutThere2016,2016-12-11T03:10:14.000Z,"""censorship is telling a man he can't have a steak just because a baby can't chew it."" - mark twain",817,773,41184
17956,17956,1089237,QuietEarp,2019-04-28T23:20:34.000Z,"i find your lack of an avatar.. disturbing. tiffany you need to move more, he s looking bored! si es goya, tiene que ser bueno. ""ah, the kekronomicon, the mysterious tome penned by the mad arab apu alfeelsbad."" - julio",1764,2573,124483
17965,17965,100767,Malon,2016-12-01T15:51:28.000Z,"je mehr ich u ber den covid-""impfstoff"" lerne, desto mehr erschliesst sich mir die ungeheure bosheit und der alles leben verachtende zersto rungswille seiner erschaffer.",1393,1225,25623
17976,17976,1186140,NielsAnker,2019-07-14T23:32:52.549Z,"norwegian, viking, conservative!",442,952,16
17984,17984,111639,TIA,2016-12-07T23:20:38.000Z,"likes: liberty, guns, bible, truth. was leftard & militant atheist - finally grown up. don't hate people, hate what they do (christian principles). have done military service. also, like making things, being outdoors, my dogs. dislikes: wing-nuts, pc, media, censorship, globalism, communism",1915,1950,9020
17989,17989,1033871,GabbyBaer1,2019-03-11T20:25:39.000Z,old enough to want an improved future for all of the world and humanity. working on ideas to create new energy sources and local communications.,14,96,4450
18073,18073,1099382,1488Mussolini,2019-05-07T19:06:12.000Z,fed up european american nationalist who wants his country back !,3151,1267,169881
18103,18103,114744,PearlsOfLogic,2016-12-10T08:44:11.000Z,we were all born behind enemy lines. jesus is our extraction point and our city of refuge. pure blood ~ constitutional conservative ~ proud white supremacist ~ proud american nationalist ~ 1st & 2nd amendment,13513,1887,86659
18136,18136,1046353,Werewolf1381,2019-03-15T04:31:20.000Z,"fun-loving, hard drinking, sarcastic asshole. politically incorrect and unapologetic. libertarian, capitalistic , humanistic, cynical and skeptical.",963,1197,43940
18144,18144,1068652,Deplorabledude,2019-03-31T09:26:19.000Z,born and raised here in the good o usa! pro 1a 2a,5010,5118,138583
18171,18171,118106,salis333,2016-12-11T20:35:47.000Z,"""the only valid censorship of ideas is the right of people not to listen."" - power stewartmom to 3, grandma to 6. can't talk about work, since they frown (and fire) for social media connections and comments. (talk about censorship!) #maga voted trump/pence 2016. follow me on rumble please.",5369,5410,28433
18191,18191,111799,MichaelBluesFanSince67,2016-12-08T01:15:45.000Z,'the sun will rise tomorrow; it s your attendance of the event that is uncertain.' ...kldgodusa wife#pureblooddoberman pinscherk9 4life1a/2a h&k mt extremely right wing iii%extremely toxic,1433,2143,5146
18234,18234,1113132,covatospur,2019-05-20T18:16:42.000Z,"i agree with about 15% of gab, but it's an important 15%.",497,461,18928
18382,18382,1148996,huphaco2015,2019-07-02T02:17:17.000Z,"huphaco - chuye n cung ca p ca c sa n pha m: ca m bie n a p sua t - ca m bie n nhie t o - bo chuye n o i ti n hie u - ca m bie n sie u a m ca m bie n che nh a p - o ng ho o a p sua t o ng ho o lu u lu o ng - ca m bie n o mu c... xua t xu cha u a u- g7 ta i thi tru o ng vie t namco ng ty tnhh ky thua t tu o ng hu ng pha tso 12 - u o ng 310, rosita khang ie n , p. phu hu u , q.9 - tp hcm ie n thoa i: 0978 79 55 66website: hoa.nguyen@huphaco.vn",21,189,162
18470,18470,1013285,Crawford,2019-03-04T15:58:12.000Z,"free speech period,fuck your feelings.once in the 30s and 40s they burned books and banned speech,then they went on to burn bodies! hhc 4/6inf.regmnt.5th inft.div.mechanized.11-c-10,86-89,,r.n. for 26 years and counting.not eating bugs or drinking the koolaide.",2285,3067,17790
18579,18579,1081638,brody42,2019-04-16T13:56:29.000Z,"remember, there are more of us than there are of them...and they know it.",552,785,3132
19010,19010,108161,Cranky2Sticker,2016-12-07T04:30:08.000Z,"they call me ""cranky"" i'm one of the old normal people... sick of the me me me's an a subzero tolerance fer stupid people !!!daily prayer: lord please, protect me from stupid people. husband otr trucker, retired ff/medic,#2a, foto voter id, ssn660 (ndfy)stupid people shouldn't be allowed to breed !proud to be what i am: a white,trump supporting, conservative ridgerunner....lgbpure blood !!!!",1946,2206,5568
19037,19037,1012353,intodeep61,2019-03-04T08:21:27.000Z,#wwg1wga,2231,2894,25573
19151,19151,1102157,MeeJane,2019-05-09T22:12:23.000Z,,1225,569,16677
19285,19285,1036447,comfyfren,2019-03-12T09:15:08.000Z,,170,181,8
19321,19321,1069657,Hatefulpumpkin,2019-04-01T17:41:27.000Z,"""a worldly, wise, guide who has been around the pond a time or two. frog mama is not only wise...she has a rep for being hot also"" - one of my mutuals who certainly wouldn't lie",764,744,5144
19336,19336,1034423,dustintempleton,2019-03-11T21:45:48.000Z,"brand development, smb consulting, seo and web design for small business & personal",122,146,1849
19343,19343,1142714,unschooling,2019-06-25T23:15:28.000Z,"unschooling is living & learning! truth seeker, freedom fighter, minimalist, children's rights",739,938,824
19348,19348,1124641,cozybear,2019-06-05T22:23:14.000Z,,374,510,1573
19397,19397,116714,rilli,2016-12-10T18:56:11.000Z,"""censorship is saying: 'i'm the one who says the last sentence. whatever you say, the conclusion is mine."" - ai weiwei",247,339,385
19577,19577,1009953,StormFrog,2019-03-03T14:22:26.000Z,|| we the people need to be the people ||- hours and hours of devotion.repeat.-music is contagiousmore so than measles- who let the frogs out (*honk* *honk* *honk-honk*) -never give up!,1700,2994,1581
20108,20108,116296,MartaVonRunge,2016-12-10T15:57:27.000Z,"patriot, conservative, christian, pure blood, empath. i am taken, do not dm melooking to hook up.",5481,3241,140044
20139,20139,116665,WildBill_inTN,2016-12-10T18:27:07.000Z,"#maga, trump supporter 100%, #draintheswamp, #q, conservative, constitution loving american. jesus is coming back soon, be ready. wwg1wga. pure blood . unvaxed. untested. will remain so. veteran digital soldier.",2636,129,26761
20241,20241,108121,Alethiometer,2016-12-07T04:22:33.000Z,"""i know you won't believe me, but the highest form of human excellence is to question oneself and others."" - socrates i'm a proud parent & patriot so i created ppsf patriot parent security force. we must organize & create a system to keep american children from being a target at school i have the program and it has 40 years of success 40 years so why haven't american children been protected?? it's a simple plan doesn't cost a lot it worked for 4 generations but not for american children why?",485,670,110
20302,20302,118249,stopcensorship,2016-12-11T23:02:12.000Z,"i believe in the way of truth and love. all throughout history, there have been tyrants and murderers. for a time, they can seem invincible. but in the end, they always lose. always.mohandas gahndi",2241,3081,92
20314,20314,1005280,Annben,2019-03-02T15:36:35.000Z,"texas. suspended on twitter. ""there were times when people would burn books because they didn't like what people were doing."" - michael berryman",2537,2753,72344
20412,20412,1066683,samm-ee,2019-03-28T23:46:56.000Z,,646,554,11775
20458,20458,107568,Blessingstoyou,2016-12-07T02:41:18.000Z,dear nazi brother/sister repent for your truth has woven within the doctrines of demons. the fruits of your beliefs are hatredthis is not the way of christ. 1st john 3:15 if you hate your brother you are a murderer and have no eternal life within you. lifeafterhate.org,1388,1534,30776
20465,20465,1012292,RedPillMGTOW,2019-03-04T07:33:41.000Z,"""a man can be himself only so long as he is alone; and if he does not love solitude, he will not love freedom; for it is only when he is alone that he is really free."" arthur schopenhauer",1336,846,81394
20539,20539,105936,nontzie1,2016-12-07T00:10:02.000Z,"""when you have strict censorship of the internet, young students cannot receive a full education. their view of the world is imbalanced. there can be no true discussion of the issues."" - ai weiwei",508,255,7541
20598,20598,1095039,eire-szoll,2019-05-04T20:46:59.000Z,"it is easier to get normies to recognize an empty lie than a pregnant truth. here *mostly* for solid memes and the chuckles. if ye cannae enjoy the haverin' nor ken it, ye can hae the decency to trundle off quiet like.",401,124,5658
20605,20605,1090624,AteFengErs,2019-05-01T14:38:18.000Z,"who the hell is that? one bastard goes in, another one comes out.",1459,1267,53386
20618,20618,1088991,LiterallyHotler,2019-04-28T13:50:31.000Z,1st and 2nd amendment enthusiast. navy vet. noticer. fema region v my,836,843,2621
20636,20636,1064932,LeeSutterlin,2019-03-27T19:28:31.000Z,"unreconstructed aryan nationalistjust say no to zogthe northwest american republic is the way forward.northwest front on gabnorthwestfront.infodenver calirado, for now.",846,188,15675
20779,20779,1041476,toppopyeah,2019-03-14T00:08:12.000Z,"i don't care if ur left right or centre, i only see nationalists and globalists and if ur a globalist u can fuck off to globalistan twitch channel:",148,167,1767
20791,20791,1157893,delinfielkar,2019-07-08T20:00:05.950Z,"godless dutch revisionist. defying the chosen ones, holocaust heretic, questioning 911, the climate is changing since the world came into existence.#holocaustianity #jewsonly #holohoax #nineeleven #climatechange rp's do not equal endorsement.all religions are ridiculously sillyinternet archive",783,77,14108
20796,20796,1106913,Sussex,2019-05-14T20:12:46.000Z,darles chickens easter worshipper & noticer,174,176,4346
20848,20848,1065273,Landser1,2019-03-27T23:42:14.000Z,there is a deep state. it is led by jooo billionaire's. they are wreaking havoc on the entire planet. you fight or enjoy your and your children s servitude!,2132,1935,9181
20944,20944,1096926,freemanjack,2019-05-06T12:09:18.000Z,"sod the like button, if what i write resonates, hit that repost, i'm not interested in a popularity contest.",429,369,13408
20985,20985,1088433,Scs168,2019-04-27T17:34:34.000Z,"1955 aryan christian ,usn veteran ,truck driver, carpenter, framer, drywaller, property manager, broker husband and born again christian spreading the works of jesus one person at a time. my church is with everyone i meet, god is in everyone. let them know everytime you speak. remember if my opinion makes you cry, you may be too feminine. be like water not snow",1439,1302,19667
21110,21110,1001634,N8errific,2019-03-01T20:19:36.000Z,here because it s the only place that has proven to be free speech.,32,40,943
21218,21218,1003543,Aetherreal,2019-03-02T05:47:01.000Z,"neet, weeb, anime enjoyer, noticer, fatigued, racist# nearly everything i post is ai generated-christ is king.",456,431,4089
21219,21219,111246,CG63,2016-12-07T19:23:35.000Z,"i've still got a twatter acct, but, why slum it? ""the welfare of humanity is always the alibi of tyrants""albert camus#trumplican#pureblood #hysteriverse was coined by mr. assange in 2017 to properly describe our ridiculous reality.it remains an accurate description just as much as his silenced voice remains the most relevant.",1389,1446,34505
21257,21257,1058917,ManOWarMelvin,2019-03-21T17:35:45.000Z,,-79,-19,8953
21265,21265,1058327,T0TALFR33D0M,2019-03-21T07:05:08.000Z,,135,309,1114
21709,21709,1155565,QuriousQat,2019-07-07T17:28:22.614Z,,518,380,39885
21710,21710,1091797,HurricaneJefe,2019-05-03T02:11:25.000Z,,170,141,2650
21963,21963,107581,Zaklog,2016-12-07T02:42:50.000Z,"they can't stop the signal, mal. they can never stop the signal. - mr. universe, serenityi aim to misbehave. - malcolm reynolds,",784,174,17675
21992,21992,1145696,tessalebaron,2019-06-28T03:12:05.000Z,"winston churchill called democracy ""the worst form of government except for all those other forms that have been tried""",1606,3400,2617
22146,22146,11343,CaptainButthurt,2016-09-09T15:09:43.000Z,"the final frontier. these are the voyages of the starship pepeprise. its continuing mission to explore strange new methods of reee, to seek out based content and new dank memes, to boldly go where no anon has gone before...",1669,385,21795
22247,22247,1175094,Kimmy1970,2019-07-11T03:12:40.357Z,love the republic!matthew 5:44 psalm 34:18,383,40,13418
22259,22259,1048082,EduardoGonzalezPalomar,2019-03-15T17:39:33.000Z,con la saludable vocacio n de anteponer el sentido al - -,1212,3281,6638
22286,22286,1084862,ClaireNSDAP,2019-04-22T03:30:56.000Z,"nationalist dissidence - ns falangist - french legitimate royalist - anti-zionist - anti feminism - for the white catholic and pagan france, europe and usa - against art and surrogacy and lgbt adoptions - fsspx - former sportcars press officermeine ehre hei t treue - gott mit",2520,5444,5401
22666,22666,11185,KishinD,2016-09-09T05:34:32.000Z,"""if liberty means anything at all, it means the right to tell people what they do not want to hear."" george orwell-i serve the god of truth and lifewe've run out of political solutionsteam white survival : genes > memessworn enemy of illusionspioneer of possibilitywhite person appreciator-hope is a dream - will is a choice-if christianity had any chance of uniting white people, why haven't they united christians yet?",536,437,16716
22706,22706,1144112,NotBergStein,2019-06-27T02:51:54.000Z,please write to:political-prisoner-alfred schaeferjva landsberghindenburgring 1286899 landsberg am lechgermany-dipl.ing. wolfgang fro hlich(released after 15 years!)austria,276,541,81
22807,22807,1156956,CIntelMedia,2019-07-08T08:15:20.363Z,joining the dots to #freethemind.all that is posted is informed opinion and should be considered entertainment. #knowyourenemy,396,294,8897
22858,22858,113126,MysticMadman,2016-12-09T04:44:31.000Z,"i've been here forever...~ jarhead clan/0311~ generation x-er~ i have one life, and i am entitled to defend it in any way i see fit against those who would do me harm. if there is a single principle that has animated this realm since the time of the emperor justinian, it is that.- charles c w cooke",1564,408,7225
22863,22863,102592,andreas_sewell,2016-12-06T02:48:14.000Z,"your imagination... ...the enemy of my enemy is also my enemy.no state solution advocate.two semitic corpses in one grave.choose moral authority for once, little moralfaggot.every mosque/synagogue/church is rightfully repurposed into an abortion clinics for those respective undesirables.do not be a slaughter victim moralfaggot.",1232,771,130992
22867,22867,1157831,DirtyThirty,2019-07-08T19:24:34.188Z,"live for nothing, or honk for something.your call lads.",307,255,5620
22900,22900,1089010,NordicSaxonWarriors,2019-04-28T14:39:11.000Z,"the most precious possession you have in the world is your own people.and for this people, and for the sake of this people, we will struggle and fight, and never slacken, never tire, never lose courage, and never lose faith.~adolf hitler-""we must secure the existence of our people and a future for white children. Because the beauty of the White Aryan Women must not perish from the Earth.""",833,390,3276
22914,22914,1066545,christgnosis,2019-03-28T21:00:54.000Z,most banned anon on twitter. follow my,188,39,138
22966,22966,1052217,Machnik,2019-03-17T20:26:13.000Z,the truth will be revealed #infowarswe the people fight for freedom stand for human life bitcoin noobturning to god in a godless society,497,269,8337
23203,23203,101928,AnnKelly,2016-12-04T01:51:14.000Z,workers rights political activist millennial womanist geopolitics culturalist advisor traveler futurist healthnut plantmom lover usa europa,3467,252,37991
23362,23362,105871,im_frank,2016-12-07T00:07:14.000Z,"steely-eyed denizen of the deep""liberal rational thought"" is the ultimate oxymoron. . .usn (ret) - navy diver (dv) - submarines (ss) - surface (sw) - mine warfare (mw) - dav strong (100%)",2967,3856,27441
23387,23387,110030,DAL1,2016-12-07T12:58:50.000Z,"""when you have strict censorship of the internet, young students cannot receive a full education. their view of the world is imbalanced. there can be no true discussion of the issues."" - ai weiwei",1656,1963,12367
23826,23826,112130,Gavran,2016-12-08T06:16:31.000Z,"world is full of mystery and we all find different ways to solve it. love books, nature, sifi science and real freedom so you may say i'm equally traditionalist and futurist.",186,243,222
23870,23870,11205,abacusnemo,2016-09-09T06:22:01.000Z,"evidence-led atheist and patriot. conservative. islam must be exposed as the hateful and extreme ideology it is. there are too many evil aspects of islamic practice to mention here, but one of the most objectionable is the nightmarish way it tortures animals to death with its disturbing 7th century non-stun halal slaughter practices. i love pork scratchings & bacon. the old fake gods are much more fun than the new fake gods, no comparison. leftists: you know what you are.",1345,344,71660
23876,23876,1023397,DmskiHomestead,2019-03-07T18:10:14.000Z,"homestead, countryside life, blacksmithing, woodworking, gardening, simple life.instagram channel",74,7,398
23880,23880,1128559,HB1000,2019-06-08T13:22:33.000Z,"here for the truth. prepared for the fight ahead.i am- the female of the species rudyard kipling (1865-1936) as i do understand it, laws, commands, rules and edicts are for those who have not the light which makes plain the pathway. he who has god's grace in his heart cannot go astray. anne hutchinsondeus non irridetur god is not mocked (gal 6:7).",675,650,15418
23896,23896,1005362,RagexPrince683,2019-03-02T15:50:37.000Z,"""stopping leaks is a new form of censorship."" - julian assange",9,9,19
23949,23949,1176423,BelannF,2019-07-11T18:29:33.652Z,"gettr acct @belannf - follow me there - love my god, family and country - together we win - let's unite for freedom",11867,11764,35344
23952,23952,1033488,gjslobe,2019-03-11T19:37:22.000Z,"god, family, country. digital soldier, patriot. #maga united with patriot's around the world. god gives us the right to be free people. #wwg1wga family is everything. ifb patriots, those who follow me. don't play games like others on sm, if you unfollow me, i will unfollow, will not follow again. not after numbers, but friends, sharing interests. rocket city, usa home of rsa",3470,3434,18295
23972,23972,1035757,Kanaheik,2019-03-12T03:02:49.000Z,"i am a christian conservative. i am a diesel technician by trade. father of 4 daughters, all are grown up.",511,452,3953
24038,24038,1019443,DoomerGuy,2019-03-06T12:05:10.000Z,"""they [the jews] work more effectively against us, than the enemy's armies. they are a hundred times more dangerous to our liberties and the great cause we are engaged in... it is much to be lamented that each state, long ago, has not hunted them down as pest to society and the greatest enemies we have to the happiness of america."" george washington",2401,271,14550
24112,24112,102449,0thought0,2016-12-05T18:02:37.000Z,socialism is an alternative to capitalism as potassium cyanide is an alternative to water. ludwig von,438,373,9480
24172,24172,1161626,q1w2e3r4,2019-07-10T05:21:24.192Z,"i am a native of the midwest,raised on a farm,currently employed in manufacturing.i am politically conservative,pro 2a,pro1a,pro constitution.maga voter. i like colt firearms,pre '64 winchesters,older remingtons,smith and wesson pre trigger lock only,and semi-auto,high capacity rifles.",2599,2608,74182
24319,24319,1127618,PatrolBear811,2019-06-07T14:07:38.000Z,"god, family, country just the basics. freedom isn't free and thank you to all the patriots. wwg1wga!",1230,997,48406
24352,24352,1086795,DonErnestoFuerte,2019-04-25T14:40:24.000Z,,402,218,36704
24546,24546,1127033,IamLisaSalinas,2019-06-07T03:10:39.000Z,christian. married. not a real libertarian. dog mom. it's a safe bet that pretty much all memes are stolen.,2380,3140,31245
24608,24608,1155277,SlaveNation,2019-07-07T14:54:21.698Z,"there is a war brewing inside america. let it brew. find a wartime candidate for president.craft and deception shall contend with freedom and justice. issue no apologies, accept no excuses. don't hibernate but let our presence haunt them.ex- big outfit cowboy, western defector.",943,287,24246
25079,25079,1156362,IBWP2,2019-07-08T01:05:54.872Z,,265,637,1967
25466,25466,104203,yophotoman,2016-12-06T23:07:38.000Z,"""what we learn from history is that no one learns from history."" -- friedrich nietzsche",1879,1667,7493
26031,26031,1084852,usfreespeech1776,2019-04-22T02:59:12.000Z,| all posts on this channel are taking place within and/or referring to the minecraft universe. minecraft cost cash but minetest is free.,706,818,13409
26141,26141,1073972,RightWingPunk,2019-04-07T06:28:31.000Z,sieg heil it s okay to be proud to be whitetwitter: @right_wing_punk,619,211,858
26150,26150,1123374,Saint-Tarrant,2019-06-04T07:55:09.000Z,principle > self any day,759,102,24213
26155,26155,1186099,WhiskeyBeer,2019-07-14T23:09:40.256Z,">yes i am a whiskey beer.>1488, a good year for beer.>drink me, not the koolaid >forefathers shared more in common with adolf hitler than any conservatives in last 100 years.>both were visionaries hated for wanting a white nation.",507,612,6404
26261,26261,1027489,Emeraldwitch,2019-03-09T16:14:22.000Z,"devoted house wife & mother to the sweetest baby boy proud irish, truther, pro-life, shy introvert, conservative, proud to be white, nationalist, anti-feminist, anti-immigration, pro-capital punishment, animal lover, proud ginger poetry blog:",311,253,3470
26568,26568,101638,blove65,2016-12-03T00:05:59.000Z,"navy nam vet, 65 - 71, dlgn 35, wife retired usaf nurse, live like you mean it! bacon!",2004,596,50963
26846,26846,107966,Q1295tinman,2016-12-07T03:51:15.000Z,"i am a political nonconformist! right now, trump is ""still"" my president! i respect all interested in freedom and seeking truth. i value unity over party politics. parties are how they divide us. i am an 8kunfag, researcher and patriot.#maga #kagtelegram - - -",367,315,987
26879,26879,1063105,RAR2,2019-03-26T12:53:24.000Z,"hope for the best, plan for the worst.",321,231,6534
26918,26918,108992,trestradapalma,2016-12-07T08:10:57.000Z,the great grandson of the first cuban president - a dedicated georgist,1417,1006,14253
26955,26955,1110884,AmericanOne,2019-05-17T23:10:39.000Z,"citizen slave no more....still working hard to spread the word about this constitution thing. should be called ""a non citizen"".",117,79,13606
26980,26980,1136346,MasterSergeant2008,2019-06-17T15:48:49.000Z,retired us army 11b5v/18e1972 plymouth satellite sebring plus (470 stroker v8)hens are liars. only you can prevent cultural marxism. blocked by @chucknellis and matt bracken for pointing out jewish malfeasance.#jewsaretheproblemwhites are the solution.,889,156,33629
27069,27069,1117042,Houndkeeper,2019-05-26T01:08:04.000Z,"from south central ky. live in north ky ,son , father, u.s. marine. libertarian/conservative.",44,57,376
27381,27381,1118057,AmericanTimes-News,2019-05-27T13:42:10.000Z,"local news for americans-first, beginning with",66,142,332
27459,27459,102425,reign99,2016-12-05T16:59:35.000Z,"devotion to the truth is the hallmark of morality; there is no greater, nobler, more heroic form of devotion than the act of a man who assumes the responsibility of thinking. ayn rand, atlas shrugged--join the group, hate on communism,",494,152,4461
27526,27526,113850,wjappe,2016-12-10T05:11:47.000Z,"delusional religious people, liberals esp progressives, drug warriors, ppl that don't respect others rights & gov't have serious delusions of what is right&wrong.&about reality. those that don't see how wrong it is to lie about, steal and kill those in palestine have fake morals or just haven't any empathy toward any peoples other than their own tribe.",383,457,3736
27780,27780,1126984,CuddlyBear,2019-06-07T02:36:05.000Z,"praise jah you people!jews killed jesus! (matthew 27:25)you're either maga or you're against us.no mercy. no quarter. no exceptions.blue is the new red.stay away from anything artificial, especially intelligence.there is great redemption at the end of a rope.pray for peace, prepare for war.police=kgb. fuck all you blue line faggots!avoid the group red wave riders and behizy. they don't support free speech.",1837,511,98345
27872,27872,110520,Natty_Bumppo,2016-12-07T14:59:52.000Z,descendant of potato famine survivors. i'll take me fookin' reparations in jameson's.,468,469,12751
27921,27921,1096573,WhiteRationalism,2019-05-06T01:16:47.000Z,the 14 words - we must secure the existence of our people and a future for white children. because the beauty of the white aryan woman must not perish from the if you're not naming jews i'm not following back.claiming ignorance on the issue of jewish subversion is willful ignorance not lack of knowledge.,987,570,17281
28049,28049,1054488,PissJuggernaut,2019-03-18T21:00:50.000Z,"(entp/chaotic good)be mindful allowing others to cultivate and harvest your beliefs, hatred or self-esteem",125,147,3989
28050,28050,1027949,SirJeffrey,2019-03-09T18:28:10.000Z,"the world is under a deep dark canaanite spell. beware that, when fighting monsters, you yourself do not become a monster, for when you gaze long into the abyss, the abyss gazes also into you.",180,334,2097
28099,28099,1099989,frjohnwhiteford,2019-05-08T02:30:02.000Z,"preferred pronouns: thee, thou, thy, thine",2379,721,2210
28408,28408,1147267,krynnotaur,2019-06-29T18:32:10.000Z,shrugged. consent is not optional. you cannot make atlas move a god damn thing he does not agree with moving.*i* am not right in /your/ head.,23,25,7200
28674,28674,1027617,NBAustinBooks,2019-03-09T16:46:12.000Z,"husband. author. gritty fiction, hard-hitting non-fiction. available on amazon",106,38,1184
28686,28686,10022,captain,2016-09-06T00:52:49.000Z,"take no part in the unfruitful works of darkness, but instead expose them. ephesians 5:11 photos and other images not mine.",1658,239,11945
28709,28709,1176037,buffyputastakeinem,2019-07-11T13:57:06.431Z,"""jesus said to them, if god were your father, you would love me, for i have come here from god. i have not come on my own; god sent me. why is my language not clear to you? because you are unable to hear what i say. you belong to your father, the devil, and you want to carry out your father s desires. he was a murderer from the beginning, not holding to the truth, for there is no truth in him. when he lies, he speaks his native language, for he is a liar and the father of lies.""",647,228,18736
28788,28788,113586,elspeth62,2016-12-09T20:07:23.000Z,"my mission isn t to quash debate it s to show that the mainstream media aren t mainstream, that their feigned objectivity isn t objective, and that open, rigorous debate is a positive good in our society. ~andrew breitbart",4560,219,22578
28904,28904,1140704,Antizionist2019,2019-06-23T10:08:18.000Z,,484,24,95195
29088,29088,1106025,snixy,2019-05-13T16:05:23.000Z,,1686,272,195961
29125,29125,1031365,ChickenInvasion,2019-03-11T01:18:54.000Z,recovering astrophysicist. code monkey. lazy proofreader. lend me your f-16s.,1312,823,39559
29310,29310,109572,70JS,2016-12-07T11:12:26.000Z,"""think for yourselves and let others enjoy the privilege to do so, too."" - evelyn beatrice hall#bitcoin #ethereum #cardano #vechain #kucoin #sol #avax",2512,2714,97416
29502,29502,114418,AlvinB1959,2016-12-10T06:47:16.000Z,"""imperfect"" christian - usaf veteran (80 to 86). gab is not a dating site, you start that crap and i'll block you jiffy quick - constitutional american patriot - if you hate christian & american values - get out of the usa",3879,2158,111735
29539,29539,111021,kabster,2016-12-07T17:50:15.000Z,"""the only people who don t want to disclose the truth are the people with something to hide. ~barry soetoro~aka barack obama - (quote from the man who has hidden the most)------------------------------------------@kabster on truthsocial & x but @gab is home i was kicked off twitler before it was c l------------------------i'll probably make a meme for ya if you ask nicely._____________",2861,1604,57829
29950,29950,1072095,Mac691,2019-04-04T21:57:16.000Z,#qanon #globalpatriotsunite #digitalsoldiers #wwg1wga #jfkjrlives #kga #savethekids #donaltrump19thpresidentoftheunitedstates#bidennotmypresident #trump2024 #1amendment #2amendment#patriotsholdtheline #wethepeopleanonup.com/@mac691,6213,8697,584
29986,29986,1097775,LynxGabber,2019-05-07T00:06:07.000Z,":gabby: when i saw, how that by all occasions rebellious israel had played the harlot, i cast her away, and gave her a bill of divorcement: yet her rebellious sister judah was not afraid, but she went also and played the harlot. (jeremiah 3:8)",5820,121,23013
30038,30038,1025541,MissAlantee,2019-03-08T18:21:44.000Z,i'm done being lied to and penalized for living. when will you people join me in a tax rebellion? the only way you'll control the 'de facto' govt is by stopping the flow of if you want to take back your power then quit paying taxes! he who controls the controls the politics. it must be done!we have no queen!we have no govt!more importantly this 'quasi autonomous entity' acting as the govt has no legal authority to govern anymore than it has the jurisdiction to govern!,611,532,14779
30227,30227,1084222,supno,2019-04-20T19:19:21.000Z,"! !i am the thing that defeats the evil that has escaped the matrix. we will tell you the real truth that makes all conspiracy theories ridiculous. if you want the truth, you must follow me! the war against evil has reached its climax, time is running out for all of you!",445,305,15601
30255,30255,1075182,dbzgal04,2019-04-09T05:18:51.000Z,,1251,212,39598
30264,30264,1144533,JohnDickey,2019-06-27T09:39:01.000Z,"the usa is not a democracy. article iv, section 4 of the u. s. constitution starts out, ""the united states shall guarantee to every state in this union a republican form of government....""i live in northern idaho, single, conservative, high moral values, atv rider, do not belong to any political party or religion.",175,248,1644
